City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
Waitati,-45.75,170.57,46.99,67,89,17.0,NZ,2020-10-17 00:18:34,overcast clouds
Faanui,-16.48,-151.75,79.36,78,38,11.39,PF,2020-10-17 00:18:34,light rain
Severnoye,56.35,78.36,44.35,73,84,11.86,RU,2020-10-17 00:18:34,broken clouds
Yining,29.04,114.56,57.72,90,100,2.71,CN,2020-10-17 00:14:12,light rain
Ilulissat,69.22,-51.1,48.2,57,100,14.99,GL,2020-10-17 00:16:05,light rain
Illapel,-31.63,-71.17,59.5,63,0,0.92,CL,2020-10-17 00:18:35,clear sky
Kavaratti,10.57,72.64,81.37,76,27,16.49,IN,2020-10-17 00:18:35,light rain
Dawei,14.08,98.2,75.79,92,100,2.82,MM,2020-10-17 00:18:35,light rain
Aklavik,68.22,-135.01,23.0,49,20,10.29,CA,2020-10-17 00:13:56,few clouds
Provideniya,64.38,-173.3,41.13,80,80,10.96,RU,2020-10-17 00:18:35,broken clouds
Rikitea,-23.12,-134.97,73.87,81,99,19.75,PF,2020-10-17 00:18:35,overcast clouds
Bogovarovo,58.98,47.02,32.9,94,78,6.91,RU,2020-10-17 00:18:35,broken clouds
Hualmay,-11.1,-77.61,63.91,81,28,7.29,PE,2020-10-17 00:18:36,scattered clouds
Jamestown,42.1,-79.24,42.01,59,1,0.51,US,2020-10-17 00:18:36,clear sky
Carnarvon,-24.87,113.63,69.8,88,40,17.22,AU,2020-10-17 00:18:09,scattered clouds
Ribeira Grande,38.52,-28.7,64.27,71,18,9.4,PT,2020-10-17 00:18:36,few clouds
Kruisfontein,-34.0,24.73,59.31,88,11,4.85,ZA,2020-10-17 00:18:36,few clouds
Bredasdorp,-34.53,20.04,53.6,93,53,1.12,ZA,2020-10-17 00:18:36,broken clouds
Caravelas,-17.71,-39.25,74.05,80,100,11.54,BR,2020-10-17 00:18:37,overcast clouds
Thompson,55.74,-97.86,30.2,74,75,10.29,CA,2020-10-17 00:18:37,broken clouds
Gamba,-2.65,10.0,75.61,86,76,6.49,GA,2020-10-17 00:14:06,broken clouds
Lebu,-37.62,-73.65,51.26,95,5,2.57,CL,2020-10-17 00:18:37,clear sky
Bluff,-46.6,168.33,54.0,61,32,5.99,NZ,2020-10-17 00:18:37,scattered clouds
Arraial Do Cabo,-22.97,-42.03,70.12,73,70,9.08,BR,2020-10-17 00:18:37,broken clouds
Nikolskoye,59.7,30.79,39.2,69,90,2.24,RU,2020-10-17 00:18:38,overcast clouds
Kodiak,57.79,-152.41,46.4,65,1,4.7,US,2020-10-17 00:18:38,clear sky
Ushuaia,-54.8,-68.3,44.6,56,40,23.04,AR,2020-10-17 00:16:31,scattered clouds
Yellowknife,62.46,-114.35,26.01,92,90,18.34,CA,2020-10-17 00:18:38,light shower snow
Iqaluit,63.75,-68.51,33.8,100,90,5.82,CA,2020-10-17 00:18:38,light rain
Tezu,27.92,96.17,74.55,57,4,3.11,IN,2020-10-17 00:18:38,clear sky
Thinadhoo,0.53,72.93,82.69,77,61,19.39,MV,2020-10-17 00:18:38,light rain
Alofi,-19.06,-169.92,78.8,83,100,8.05,NU,2020-10-17 00:14:16,light rain
Senj,44.99,14.91,51.8,66,20,8.05,HR,2020-10-17 00:18:39,few clouds
Winona,43.97,-91.77,41.0,48,1,3.36,US,2020-10-17 00:18:13,clear sky
Bethel,41.37,-73.41,48.2,93,90,5.82,US,2020-10-17 00:14:00,overcast clouds
Qaanaaq,77.48,-69.36,30.99,87,100,6.89,GL,2020-10-17 00:18:39,overcast clouds
Vila Franca Do Campo,37.72,-25.43,62.6,93,75,10.29,PT,2020-10-17 00:18:39,broken clouds
Cabedelo,-6.98,-34.83,77.0,88,20,5.82,BR,2020-10-17 00:18:40,few clouds
Narsaq,60.92,-46.05,39.2,80,96,2.24,GL,2020-10-17 00:18:40,overcast clouds
Hobart,-42.88,147.33,50.0,70,75,5.82,AU,2020-10-17 00:14:07,broken clouds
Busselton,-33.65,115.33,57.99,76,0,8.75,AU,2020-10-17 00:18:40,clear sky
Santa Cruz Verapaz,15.37,-90.43,62.85,100,78,2.46,GT,2020-10-17 00:18:40,light rain
Baherden,38.44,57.43,56.39,34,0,4.09,TM,2020-10-17 00:18:40,clear sky
Synevyr,48.49,23.63,36.0,96,50,1.79,UA,2020-10-17 00:18:40,scattered clouds
Buala,-8.14,159.59,84.43,73,27,5.68,SB,2020-10-17 00:18:41,light rain
Garmisch-Partenkirchen,47.49,11.1,44.6,93,75,1.12,DE,2020-10-17 00:18:41,broken clouds
Bikaner,28.02,73.3,77.9,18,2,7.29,IN,2020-10-17 00:18:41,clear sky
Zaysan,47.47,84.87,41.94,57,0,3.2,KZ,2020-10-17 00:18:41,clear sky
Jasper,37.2,-94.35,62.6,20,40,6.93,US,2020-10-17 00:14:56,scattered clouds
Mpika,-11.83,31.45,66.45,60,23,5.95,ZM,2020-10-17 00:18:41,few clouds
Mahebourg,-20.41,57.7,68.0,94,20,5.82,MU,2020-10-17 00:18:42,few clouds
Punta Arenas,-53.15,-70.92,41.0,86,75,10.29,CL,2020-10-17 00:18:42,broken clouds
Abu Road,24.48,72.78,80.31,67,30,6.22,IN,2020-10-17 00:18:42,scattered clouds
Talnakh,69.49,88.4,14.0,92,79,6.71,RU,2020-10-17 00:18:42,broken clouds
Chuy,-33.7,-53.46,57.31,92,4,10.92,UY,2020-10-17 00:18:42,clear sky
Cherskiy,68.75,161.3,28.09,95,94,4.74,RU,2020-10-17 00:18:42,overcast clouds
Butaritari,3.07,172.79,81.72,76,0,14.25,KI,2020-10-17 00:18:42,clear sky
Sobolevo,54.43,31.9,35.96,85,5,5.39,RU,2020-10-17 00:18:42,clear sky
Wajir,1.75,40.06,78.17,62,40,16.96,KE,2020-10-17 00:18:43,scattered clouds
Hithadhoo,-0.6,73.08,83.46,75,95,19.57,MV,2020-10-17 00:18:43,overcast clouds
Susanville,40.42,-120.65,73.0,13,1,4.7,US,2020-10-17 00:18:41,clear sky
Tasiilaq,65.61,-37.64,37.4,64,48,25.28,GL,2020-10-17 00:18:43,scattered clouds
Geraldton,-28.77,114.6,64.4,52,90,13.87,AU,2020-10-17 00:18:43,overcast clouds
New Norfolk,-42.78,147.06,50.0,68,100,1.01,AU,2020-10-17 00:18:43,light rain
Cidreira,-30.18,-50.21,64.38,79,8,20.15,BR,2020-10-17 00:18:43,clear sky
Manono,-7.3,27.42,72.48,77,4,1.54,CD,2020-10-17 00:18:44,clear sky
Sulangan,11.14,123.72,83.37,74,99,6.15,PH,2020-10-17 00:18:44,overcast clouds
Leshukonskoye,64.9,45.76,30.79,98,100,5.14,RU,2020-10-17 00:14:10,overcast clouds
Bathsheba,13.22,-59.52,80.6,78,20,11.41,BB,2020-10-17 00:13:49,shower rain
Port Alfred,-33.59,26.89,63.93,82,11,16.96,ZA,2020-10-17 00:18:44,few clouds
Siavonga,-16.54,28.71,77.4,42,0,4.12,ZM,2020-10-17 00:18:44,clear sky
Avarua,-21.21,-159.78,77.0,65,34,11.41,CK,2020-10-17 00:18:44,scattered clouds
Bud,39.45,-86.18,50.0,39,40,3.36,US,2020-10-17 00:18:44,scattered clouds
Belle Fourche,44.67,-103.85,50.0,54,90,11.41,US,2020-10-17 00:15:18,overcast clouds
Moussoro,13.64,16.49,88.27,19,5,3.71,TD,2020-10-17 00:18:45,clear sky
Sao Filipe,14.9,-24.5,80.28,80,100,2.44,CV,2020-10-17 00:18:45,overcast clouds
Vanimo,-2.67,141.3,79.34,77,100,5.91,PG,2020-10-17 00:18:45,light rain
Puerto Ayora,-0.74,-90.35,70.0,92,100,5.01,EC,2020-10-17 00:18:45,overcast clouds
Storslett,69.77,21.02,36.66,85,100,1.79,NO,2020-10-17 00:18:45,light rain
Rawson,-43.3,-65.1,72.09,40,1,17.43,AR,2020-10-17 00:18:45,clear sky
Margate,51.38,1.39,51.01,66,93,7.99,GB,2020-10-17 00:18:45,overcast clouds
Upington,-28.45,21.26,73.4,15,54,3.36,ZA,2020-10-17 00:18:45,broken clouds
Namatanai,-3.67,152.43,85.08,64,100,6.08,PG,2020-10-17 00:18:46,overcast clouds
Mandalgovi,45.76,106.27,35.44,75,100,10.0,MN,2020-10-17 00:18:46,overcast clouds
Saint-Pierre,-21.34,55.48,71.6,60,48,6.93,RE,2020-10-17 00:18:46,scattered clouds
San Juan,-31.54,-68.54,76.21,35,25,3.83,AR,2020-10-17 00:18:46,scattered clouds
Albany,42.6,-73.97,48.0,89,100,5.19,US,2020-10-17 00:18:46,overcast clouds
Cascais,38.7,-9.42,57.99,70,43,6.35,PT,2020-10-17 00:17:37,scattered clouds
Saint-Alexandre,44.23,4.62,52.0,81,8,13.87,FR,2020-10-17 00:18:46,clear sky
Sendafa,9.15,39.03,60.8,67,75,2.84,ET,2020-10-17 00:18:47,broken clouds
Klaksvik,62.23,-6.59,44.6,81,92,10.29,FO,2020-10-17 00:18:47,overcast clouds
Illela,13.73,5.3,87.93,29,5,5.73,NG,2020-10-17 00:18:47,clear sky
Ormara,25.21,64.64,80.06,27,65,17.56,PK,2020-10-17 00:18:47,broken clouds
Sola,-13.88,167.55,79.36,83,2,15.3,VU,2020-10-17 00:18:47,clear sky
Saskylakh,71.92,114.08,4.14,93,90,3.42,RU,2020-10-17 00:18:47,overcast clouds
Vaini,-21.2,-175.2,77.0,83,75,17.22,TO,2020-10-17 00:18:47,broken clouds
Svetlogorsk,52.63,29.73,40.89,91,28,8.23,BY,2020-10-17 00:18:47,scattered clouds
Kagadi,0.96,30.8,61.56,97,59,2.08,UG,2020-10-17 00:18:47,light rain
Aksu,41.12,80.26,47.14,48,0,1.25,CN,2020-10-17 00:18:48,clear sky
Shubarshi,48.59,57.19,50.5,47,67,10.45,KZ,2020-10-17 00:18:48,broken clouds
Bonfim,3.08,-59.95,84.61,47,16,6.76,BR,2020-10-17 00:18:49,few clouds
Itoman,26.12,127.67,80.6,69,20,14.99,JP,2020-10-17 00:18:49,few clouds
Kloulklubed,7.04,134.26,84.2,79,75,4.7,PW,2020-10-17 00:18:49,broken clouds
Jauja,-11.78,-75.5,52.25,59,76,6.2,PE,2020-10-17 00:18:49,broken clouds
Saint-Augustin,51.23,-58.65,46.65,92,49,4.85,CA,2020-10-17 00:18:49,scattered clouds
Norman Wells,65.28,-126.83,21.2,73,90,16.11,CA,2020-10-17 00:18:49,light shower snow
Barrow,71.29,-156.79,17.6,72,1,25.28,US,2020-10-17 00:18:50,clear sky
Constitucion,-35.33,-72.42,52.27,92,3,0.63,CL,2020-10-17 00:18:50,clear sky
Tuatapere,-46.13,167.68,54.0,61,50,5.99,NZ,2020-10-17 00:18:50,scattered clouds
San Patricio,28.02,-97.52,62.6,82,90,13.87,US,2020-10-17 00:18:50,overcast clouds
Saint-Joseph,-21.37,55.62,71.6,60,32,6.93,RE,2020-10-17 00:13:55,scattered clouds
Fortuna,40.6,-124.16,70.0,59,1,10.29,US,2020-10-17 00:17:59,clear sky
Simao,22.79,100.97,59.52,89,100,2.64,CN,2020-10-17 00:18:50,overcast clouds
Pevek,69.7,170.31,36.37,82,37,11.65,RU,2020-10-17 00:18:50,scattered clouds
Georgetown,5.41,100.34,78.8,94,20,3.76,MY,2020-10-17 00:18:51,few clouds
Kutum,14.2,24.67,75.81,19,0,8.72,SD,2020-10-17 00:18:51,clear sky
Namibe,-15.2,12.15,70.48,74,95,7.63,AO,2020-10-17 00:18:51,light rain
Hasaki,35.73,140.83,54.0,93,75,11.41,JP,2020-10-17 00:18:51,light rain
Riyadh,24.69,46.72,66.2,34,0,3.36,SA,2020-10-17 00:17:33,clear sky
Phangnga,8.45,98.53,78.8,88,40,6.93,TH,2020-10-17 00:18:51,moderate rain
Tanout,14.97,8.89,88.21,18,0,8.1,NE,2020-10-17 00:18:51,clear sky
Khandyga,62.67,135.6,15.26,89,11,3.04,RU,2020-10-17 00:18:52,few clouds
Alyangula,-13.85,136.42,82.4,74,40,6.93,AU,2020-10-17 00:18:52,scattered clouds
Cessnock,-32.83,151.35,79.0,50,43,1.99,AU,2020-10-17 00:18:52,scattered clouds
Bilokurakyne,49.53,38.73,55.56,86,79,4.54,UA,2020-10-17 00:18:52,broken clouds
Chitral,35.85,71.79,55.9,35,0,1.45,PK,2020-10-17 00:18:52,clear sky
Constantine,36.37,6.61,44.6,87,0,2.24,DZ,2020-10-17 00:18:52,clear sky
Kasimov,54.94,41.4,35.15,92,10,5.99,RU,2020-10-17 00:18:52,clear sky
Yukhnov,54.74,35.23,38.37,82,44,3.31,RU,2020-10-17 00:18:53,scattered clouds
Hudson Bay,52.85,-102.38,25.02,82,0,4.79,CA,2020-10-17 00:18:53,clear sky
Quatre Cocos,-20.21,57.76,68.0,94,20,5.82,MU,2020-10-17 00:18:53,few clouds
Den Helder,52.96,4.76,50.0,87,90,2.24,NL,2020-10-17 00:18:53,overcast clouds
Mayya,61.73,130.28,14.0,92,75,4.47,RU,2020-10-17 00:18:53,light shower snow
Saint-Louis,16.33,-15.0,86.0,66,2,5.7,SN,2020-10-17 00:18:53,clear sky
Marawi,8.0,124.29,81.0,81,92,1.01,PH,2020-10-17 00:18:53,overcast clouds
Svolvaer,68.23,14.57,45.0,93,75,18.34,NO,2020-10-17 00:18:53,light intensity shower rain
Touros,-5.2,-35.46,77.0,83,20,9.17,BR,2020-10-17 00:17:32,few clouds
Saint George,37.1,-113.58,82.4,8,1,4.7,US,2020-10-17 00:18:54,clear sky
San Bartolome De Tirajana,27.92,-15.57,71.6,73,75,11.41,ES,2020-10-17 00:18:54,broken clouds
Atuona,-9.8,-139.03,78.49,75,2,17.76,PF,2020-10-17 00:18:54,clear sky
Meihekou,42.53,125.68,46.53,54,0,14.61,CN,2020-10-17 00:18:54,clear sky
Manga,11.66,-1.07,81.86,56,57,6.15,BF,2020-10-17 00:18:54,broken clouds
Bharuch,21.7,72.97,79.36,84,69,3.58,IN,2020-10-17 00:18:54,broken clouds
Urucara,-2.54,-57.76,83.88,50,35,1.43,BR,2020-10-17 00:18:54,scattered clouds
Codrington,-38.27,141.97,56.34,88,98,14.52,AU,2020-10-17 00:18:54,overcast clouds
Raudeberg,61.99,5.14,46.0,94,87,12.3,NO,2020-10-17 00:18:55,overcast clouds
Yulara,-25.24,130.99,80.6,34,0,16.11,AU,2020-10-17 00:18:55,clear sky
Hermanus,-34.42,19.23,59.0,76,50,5.79,ZA,2020-10-17 00:18:55,scattered clouds
Methven,-43.63,171.65,52.0,70,95,4.47,NZ,2020-10-17 00:18:55,overcast clouds
Pontal Do Parana,-25.65,-48.51,54.0,87,40,6.93,BR,2020-10-17 00:18:55,scattered clouds
Mataura,-46.19,168.86,54.0,61,48,5.99,NZ,2020-10-17 00:18:55,scattered clouds
Nuuk,64.18,-51.72,44.01,87,100,32.21,GL,2020-10-17 00:15:11,light snow
Avera,33.19,-82.53,66.2,72,1,5.82,US,2020-10-17 00:18:55,clear sky
Srednekolymsk,67.45,153.68,26.2,97,93,13.15,RU,2020-10-17 00:14:07,overcast clouds
Mahon,39.89,4.27,55.4,71,1,4.7,ES,2020-10-17 00:18:56,clear sky
Callaway,30.15,-85.57,75.2,64,1,11.41,US,2020-10-17 00:18:56,clear sky
Ilhabela,-23.78,-45.36,66.79,76,81,3.94,BR,2020-10-17 00:18:56,broken clouds
Ponta Do Sol,32.67,-17.1,66.2,72,20,5.82,PT,2020-10-17 00:18:56,few clouds
Wanning,18.8,110.4,78.15,85,100,21.68,CN,2020-10-17 00:18:56,moderate rain
Baykit,61.67,96.37,27.41,94,100,7.67,RU,2020-10-17 00:18:56,light snow
Tura,25.52,90.22,72.37,91,8,3.69,IN,2020-10-17 00:18:56,clear sky
Tautira,-17.73,-149.15,75.0,94,90,13.87,PF,2020-10-17 00:18:56,light rain
Isangel,-19.55,169.27,82.4,69,20,9.17,VU,2020-10-17 00:18:57,few clouds
Bubaque,11.28,-15.83,82.56,85,100,10.29,GW,2020-10-17 00:18:57,overcast clouds
Sitka,57.05,-135.33,51.8,66,75,8.05,US,2020-10-17 00:18:55,broken clouds
Zhigansk,66.77,123.37,17.92,92,93,5.41,RU,2020-10-17 00:18:57,overcast clouds
Sistranda,63.73,8.83,44.6,100,75,19.46,NO,2020-10-17 00:18:57,broken clouds
Bafra,41.57,35.91,57.2,87,40,4.7,TR,2020-10-17 00:18:57,fog
Tiksi,71.69,128.87,24.33,98,100,9.13,RU,2020-10-17 00:18:58,light snow
Guerrero Negro,27.98,-114.06,78.6,51,51,16.33,MX,2020-10-17 00:18:58,broken clouds
Cape Town,-33.93,18.42,57.0,93,30,4.7,ZA,2020-10-17 00:18:58,scattered clouds
Arcoverde,-8.42,-37.05,66.51,83,43,9.22,BR,2020-10-17 00:18:58,scattered clouds
Bengkulu,-3.8,102.27,76.12,85,65,3.11,ID,2020-10-17 00:18:58,broken clouds
Ampanihy,-24.7,44.75,66.6,78,81,14.5,MG,2020-10-17 00:18:58,broken clouds
Skibbereen,51.55,-9.27,46.4,81,20,8.05,IE,2020-10-17 00:18:58,few clouds
Magdiwang,12.49,122.51,83.35,70,53,1.36,PH,2020-10-17 00:18:58,broken clouds
Souillac,-20.52,57.52,68.0,94,20,5.82,MU,2020-10-17 00:18:59,few clouds
El Dorado,38.77,-120.52,86.0,21,0,5.44,US,2020-10-17 00:18:08,clear sky
Gat,31.61,34.76,72.0,92,0,3.49,IL,2020-10-17 00:18:00,clear sky
North Bay,46.32,-79.47,39.99,72,75,6.93,CA,2020-10-17 00:18:59,broken clouds
Dingle,11.0,122.67,81.14,78,62,2.91,PH,2020-10-17 00:18:59,broken clouds
Trelew,-43.25,-65.31,77.43,33,0,17.25,AR,2020-10-17 00:17:34,clear sky
Farafangana,-22.82,47.83,71.82,89,63,4.85,MG,2020-10-17 00:18:59,light rain
Alta Floresta,-9.88,-56.09,83.48,45,67,2.71,BR,2020-10-17 00:19:00,broken clouds
Trincomalee,8.57,81.23,79.75,78,90,17.72,LK,2020-10-17 00:19:00,overcast clouds
Port Elizabeth,-33.92,25.57,60.8,93,20,5.82,ZA,2020-10-17 00:16:50,few clouds
Buchanan,5.88,-10.05,77.32,89,96,5.95,LR,2020-10-17 00:19:00,overcast clouds
Laje,-10.18,-40.97,77.04,32,0,6.42,BR,2020-10-17 00:19:00,clear sky
Malindi,-3.22,40.12,77.68,82,5,14.32,KE,2020-10-17 00:19:00,clear sky
Luoyang,34.68,112.45,55.0,99,66,2.62,CN,2020-10-17 00:19:00,broken clouds
Cabo San Lucas,22.89,-109.91,88.0,58,5,8.05,MX,2020-10-17 00:19:01,clear sky
Santiago Del Estero,-27.8,-64.26,82.87,46,100,10.51,AR,2020-10-17 00:19:01,overcast clouds
Praya,14.92,-23.51,77.0,88,94,5.82,CV,2020-10-17 00:14:05,overcast clouds
Khatanga,71.97,102.5,-2.29,89,0,3.44,RU,2020-10-17 00:19:01,clear sky
Puerto Escondido,15.85,-97.07,82.65,75,96,4.52,MX,2020-10-17 00:19:01,overcast clouds
Churintzio,20.15,-102.07,68.43,54,26,5.32,MX,2020-10-17 00:19:01,scattered clouds
Erzin,36.96,36.2,73.0,74,8,2.46,TR,2020-10-17 00:19:01,clear sky
Lovozero,68.0,35.01,27.97,97,96,7.52,RU,2020-10-17 00:19:01,overcast clouds
Kholodnyy,62.72,147.95,20.07,92,100,4.54,RU,2020-10-17 00:19:01,overcast clouds
Akdepe,42.06,59.38,42.8,65,0,2.24,TM,2020-10-17 00:19:02,clear sky
Tahe,52.33,124.73,34.79,88,85,9.1,CN,2020-10-17 00:19:02,overcast clouds
Kuytun,54.34,101.5,28.38,92,97,5.95,RU,2020-10-17 00:19:02,overcast clouds
Saint-Francois,46.42,3.91,46.4,100,96,3.36,FR,2020-10-17 00:19:02,overcast clouds
Meulaboh,4.14,96.13,76.8,83,100,3.49,ID,2020-10-17 00:19:02,overcast clouds
La Victoria,10.22,-67.33,71.76,82,51,3.51,VE,2020-10-17 00:19:02,broken clouds
Chiang Kham,19.52,100.3,75.2,83,40,11.41,TH,2020-10-17 00:19:02,scattered clouds
Mar Del Plata,-38.0,-57.56,57.0,100,90,11.41,AR,2020-10-17 00:17:33,fog
Sabzevar,36.21,57.68,44.4,52,0,5.35,IR,2020-10-17 00:19:03,clear sky
Pacific Grove,36.62,-121.92,86.0,49,1,10.29,US,2020-10-17 00:19:03,clear sky
Bana,5.15,10.28,62.15,100,100,1.32,CM,2020-10-17 00:19:03,moderate rain
Xingcheng,40.62,120.72,56.26,36,0,12.35,CN,2020-10-17 00:19:03,clear sky
Shimoda,34.67,138.95,55.4,93,75,18.34,JP,2020-10-17 00:19:03,light rain
Canavieiras,-15.68,-38.95,73.45,86,1,3.18,BR,2020-10-17 00:19:03,clear sky
Ostrovnoy,68.05,39.51,32.25,92,84,11.63,RU,2020-10-17 00:19:03,broken clouds
Asau,46.43,26.4,52.0,98,100,2.53,RO,2020-10-17 00:19:04,overcast clouds
Kingman,35.19,-114.05,89.01,8,1,11.41,US,2020-10-17 00:19:04,clear sky
Tuktoyaktuk,69.45,-133.04,21.2,85,90,23.04,CA,2020-10-17 00:19:04,light snow
Bezhanitsy,56.98,29.89,32.38,95,8,2.42,RU,2020-10-17 00:19:04,clear sky
Hadejia,12.45,10.04,84.79,41,16,5.77,NG,2020-10-17 00:19:04,few clouds
Kozmodemyansk,56.34,46.57,35.6,86,40,6.71,RU,2020-10-17 00:19:04,scattered clouds
Ponnani,10.77,75.93,73.4,88,75,3.36,IN,2020-10-17 00:19:04,mist
Tilichiki,60.47,166.1,37.26,75,22,4.83,RU,2020-10-17 00:19:04,few clouds
East London,-33.02,27.91,66.02,78,34,19.28,ZA,2020-10-17 00:19:05,scattered clouds
Stanislav,46.57,32.15,65.17,89,81,8.7,UA,2020-10-17 00:19:05,broken clouds
Bridlington,54.08,-0.19,48.99,87,74,4.7,GB,2020-10-17 00:19:05,broken clouds
Leningradskiy,69.38,178.42,35.51,86,75,3.53,RU,2020-10-17 00:19:05,broken clouds
Carmen,18.63,-91.83,84.2,74,40,5.82,MX,2020-10-17 00:17:51,scattered clouds
Normandin,48.83,-72.53,42.8,93,90,8.05,CA,2020-10-17 00:19:05,overcast clouds
Russell,32.35,-85.2,69.8,82,1,6.93,US,2020-10-17 00:19:05,clear sky
Torbay,47.67,-52.73,48.2,100,90,2.24,CA,2020-10-17 00:19:06,fog
