City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
Vanavara,60.34,102.28,25.0,96,100,8.79,RU,2020-10-17 00:19:06,overcast clouds
Sisimiut,66.94,-53.67,41.07,87,100,13.53,GL,2020-10-17 00:19:06,moderate rain
Roald,62.58,6.13,46.4,87,99,8.05,NO,2020-10-17 00:19:06,overcast clouds
Uyar,55.81,94.32,37.33,85,100,12.19,RU,2020-10-17 00:19:06,overcast clouds
Xinzhi,36.5,111.7,52.07,41,0,1.5,CN,2020-10-17 00:19:06,clear sky
Dongsheng,39.82,109.98,38.39,64,0,8.72,CN,2020-10-17 00:19:07,clear sky
Castro,-24.79,-50.01,54.61,89,32,8.88,BR,2020-10-17 00:19:07,scattered clouds
Pangnirtung,66.15,-65.71,38.01,84,100,5.26,CA,2020-10-17 00:19:07,light rain
Kamloops,50.67,-120.32,50.0,87,75,2.24,CA,2020-10-17 00:19:07,broken clouds
Etchojoa,26.92,-109.63,95.0,43,0,11.99,MX,2020-10-17 00:19:07,clear sky
Chokurdakh,70.63,147.92,31.77,99,100,9.31,RU,2020-10-17 00:19:07,overcast clouds
Los Llanos De Aridane,28.66,-17.92,69.8,83,75,4.7,ES,2020-10-17 00:19:07,light rain
Fidenza,44.86,10.07,48.99,95,24,3.62,IT,2020-10-17 00:19:07,few clouds
Esperance,-33.87,121.9,55.4,100,51,3.36,AU,2020-10-17 00:19:08,broken clouds
Seminole,28.71,-81.21,81.0,69,20,6.93,US,2020-10-17 00:19:08,few clouds
Mount Gambier,-37.83,140.77,53.6,87,75,19.46,AU,2020-10-17 00:19:08,broken clouds
Vydrino,51.48,104.85,34.54,83,78,6.22,RU,2020-10-17 00:19:08,broken clouds
Zyryanka,65.75,150.85,28.94,98,100,13.51,RU,2020-10-17 00:19:08,overcast clouds
Kapaa,22.08,-159.32,86.0,66,1,12.75,US,2020-10-17 00:19:08,clear sky
Eydhafushi,5.1,73.07,82.31,73,14,14.76,MV,2020-10-17 00:19:08,few clouds
Vardo,70.37,31.11,37.58,75,100,9.69,NO,2020-10-17 00:18:05,overcast clouds
Hovd,48.01,91.64,32.04,79,0,2.71,MN,2020-10-17 00:16:59,clear sky
Eskil,38.4,33.41,59.04,42,0,2.06,TR,2020-10-17 00:19:09,clear sky
Naze,28.37,129.48,77.0,83,75,5.82,JP,2020-10-17 00:19:09,shower rain
Soyo,-6.13,12.37,76.89,84,98,8.81,AO,2020-10-17 00:19:09,overcast clouds
Manacapuru,-3.3,-60.62,84.2,74,17,1.63,BR,2020-10-17 00:19:09,few clouds
Luderitz,-26.65,15.16,67.78,42,0,11.92,NA,2020-10-17 00:19:09,clear sky
Tecalitlan,19.47,-103.3,80.6,78,75,13.87,MX,2020-10-17 00:19:09,broken clouds
Nioro,13.35,-15.75,78.33,85,69,4.68,GM,2020-10-17 00:19:10,broken clouds
Malakal,9.53,31.66,74.86,85,85,3.13,SS,2020-10-17 00:19:10,overcast clouds
Victoria,22.29,114.16,77.0,74,64,1.01,HK,2020-10-17 00:19:10,broken clouds
Petatlan,17.52,-101.27,91.4,59,75,5.82,MX,2020-10-17 00:19:10,broken clouds
Nouadhibou,20.93,-17.03,78.8,54,4,17.22,MR,2020-10-17 00:19:10,clear sky
Lamu,-2.27,40.9,78.8,78,1,8.05,KE,2020-10-17 00:15:01,clear sky
Prince Rupert,54.32,-130.32,51.8,71,40,6.93,CA,2020-10-17 00:15:03,scattered clouds
Tessalit,20.2,1.01,84.49,15,0,9.31,ML,2020-10-17 00:19:10,clear sky
Lubango,-14.92,13.49,62.19,77,91,2.37,AO,2020-10-17 00:19:10,light rain
Hilo,19.73,-155.09,87.8,55,40,14.99,US,2020-10-17 00:19:11,scattered clouds
Phibun Mangsahan,15.24,105.23,77.0,94,75,10.29,TH,2020-10-17 00:19:11,moderate rain
Saint-Philippe,-21.36,55.77,71.6,60,22,6.93,RE,2020-10-17 00:19:11,few clouds
Laredo,27.51,-99.51,66.2,77,90,12.75,US,2020-10-17 00:18:39,overcast clouds
Miracema Do Tocantins,-9.56,-48.4,84.49,34,2,2.62,BR,2020-10-17 00:19:11,clear sky
Airai,-8.93,125.41,74.44,44,26,2.39,TL,2020-10-17 00:19:11,scattered clouds
Mitsamiouli,-11.38,43.28,77.54,73,6,2.42,KM,2020-10-17 00:19:11,clear sky
Yamada,39.47,141.95,59.4,53,100,2.55,JP,2020-10-17 00:19:11,light rain
Coihaique,-45.58,-72.07,59.0,54,20,8.05,CL,2020-10-17 00:19:11,few clouds
Bambous Virieux,-20.34,57.76,68.0,94,20,5.82,MU,2020-10-17 00:19:12,few clouds
Bondo,3.81,23.69,66.13,96,88,1.32,CD,2020-10-17 00:19:12,overcast clouds
Te Anau,-45.42,167.72,49.96,63,89,2.24,NZ,2020-10-17 00:19:12,overcast clouds
Loralai,30.37,68.6,54.45,29,0,3.31,PK,2020-10-17 00:19:12,clear sky
Severo-Kurilsk,50.68,156.12,43.07,65,78,24.74,RU,2020-10-17 00:19:12,broken clouds
Lata,40.16,-8.33,54.0,81,77,4.7,PT,2020-10-17 00:19:12,broken clouds
Leh,34.17,77.58,34.74,58,0,2.24,IN,2020-10-17 00:19:12,clear sky
Hastings,50.86,0.57,48.99,87,95,7.56,GB,2020-10-17 00:19:12,overcast clouds
Upernavik,72.79,-56.15,40.3,71,100,8.23,GL,2020-10-17 00:19:13,overcast clouds
Buraydah,26.33,43.98,66.2,37,0,3.36,SA,2020-10-17 00:19:13,clear sky
Yelanskiy,56.84,62.5,46.85,86,97,6.6,RU,2020-10-17 00:19:13,light rain
Matay,28.42,30.78,68.97,67,0,10.92,EG,2020-10-17 00:19:13,clear sky
Inta,66.03,60.17,26.8,98,100,16.11,RU,2020-10-17 00:19:13,light snow
Merauke,-8.47,140.33,83.41,59,92,10.56,ID,2020-10-17 00:19:13,overcast clouds
Port Lincoln,-34.73,135.87,55.11,67,100,14.09,AU,2020-10-17 00:19:13,overcast clouds
Fort-Shevchenko,44.51,50.26,60.26,76,0,12.62,KZ,2020-10-17 00:19:13,clear sky
Taoudenni,22.68,-3.98,86.02,18,0,8.72,ML,2020-10-17 00:19:14,clear sky
Yelan-Koleno,51.15,41.23,47.26,87,86,5.39,RU,2020-10-17 00:19:14,overcast clouds
Anchorage,61.22,-149.9,36.0,47,1,4.7,US,2020-10-17 00:18:20,snow
Zalantun,48.0,122.72,41.85,66,100,19.57,CN,2020-10-17 00:19:14,overcast clouds
Ndele,8.41,20.65,70.75,89,60,2.64,CF,2020-10-17 00:19:14,broken clouds
Salalah,17.02,54.09,73.4,56,0,3.36,OM,2020-10-17 00:14:15,clear sky
Gidam,18.98,81.4,71.74,94,44,1.16,IN,2020-10-17 00:19:14,scattered clouds
Westport,41.14,-73.36,51.01,98,100,7.52,US,2020-10-17 00:19:14,overcast clouds
Berlevag,70.86,29.09,35.8,80,100,6.38,NO,2020-10-17 00:19:15,overcast clouds
Kieta,-6.22,155.63,87.1,55,70,1.99,PG,2020-10-17 00:19:15,broken clouds
Castrillon,43.4,-6.79,51.8,87,82,5.82,ES,2020-10-17 00:19:15,broken clouds
Navrongo,10.9,-1.09,82.33,60,43,4.03,GH,2020-10-17 00:19:15,scattered clouds
Lagoa,39.05,-27.98,63.77,62,75,7.85,PT,2020-10-17 00:19:15,broken clouds
Kem,64.96,34.58,33.37,92,83,7.31,RU,2020-10-17 00:19:15,broken clouds
Khorixas,-20.37,14.97,63.32,61,49,1.28,NA,2020-10-17 00:19:15,scattered clouds
Katherine,-14.47,132.27,86.0,55,45,8.05,AU,2020-10-17 00:19:15,scattered clouds
Puerto Suarez,-18.95,-57.8,83.01,54,99,2.66,BO,2020-10-17 00:19:15,overcast clouds
Mozarlandia,-14.74,-50.57,84.79,47,71,8.23,BR,2020-10-17 00:19:16,broken clouds
Faya,18.39,42.45,59.0,26,0,3.74,SA,2020-10-17 00:19:16,clear sky
Rio Grande,-32.03,-52.1,61.27,85,32,15.79,BR,2020-10-17 00:14:19,scattered clouds
Dikson,73.51,80.55,20.86,95,67,13.56,RU,2020-10-17 00:19:16,broken clouds
Dubbo,-32.25,148.62,80.6,30,55,21.92,AU,2020-10-17 00:16:24,broken clouds
Schruns,47.07,9.95,44.01,100,100,0.58,AT,2020-10-17 00:19:16,overcast clouds
Mecca,21.43,39.83,79.16,17,0,4.9,SA,2020-10-17 00:16:25,clear sky
Karpathos,35.51,27.21,73.4,94,3,6.93,GR,2020-10-17 00:19:16,clear sky
Forio,40.73,13.86,57.2,82,90,5.82,IT,2020-10-17 00:19:16,overcast clouds
Ahuimanu,21.44,-157.84,84.2,66,90,10.29,US,2020-10-17 00:19:16,overcast clouds
Kalat,29.02,66.59,46.17,39,0,3.89,PK,2020-10-17 00:19:17,clear sky
Auki,-8.77,160.7,86.54,66,4,2.98,SB,2020-10-17 00:19:17,light rain
Shetpe,44.17,52.12,52.23,40,0,6.89,KZ,2020-10-17 00:19:17,clear sky
Urucui,-7.23,-44.56,83.34,45,24,2.3,BR,2020-10-17 00:19:17,few clouds
Shamary,57.34,58.22,37.45,94,96,5.55,RU,2020-10-17 00:19:17,moderate rain
Banjar,-8.19,114.97,82.4,74,20,3.36,ID,2020-10-17 00:19:17,few clouds
Christchurch,-43.53,172.63,55.99,58,76,8.05,NZ,2020-10-17 00:16:56,broken clouds
Portland,45.52,-122.68,68.0,52,75,2.39,US,2020-10-17 00:14:26,broken clouds
Broken Hill,-31.95,141.43,64.4,82,90,9.17,AU,2020-10-17 00:19:17,light rain
Ulaangom,49.98,92.07,29.26,94,0,1.52,MN,2020-10-17 00:19:18,clear sky
Longyearbyen,78.22,15.64,28.4,58,40,18.34,SJ,2020-10-17 00:19:18,scattered clouds
Moerai,-22.43,-151.33,73.63,83,1,14.18,PF,2020-10-17 00:19:18,clear sky
Puerto Leguizamo,-0.19,-74.78,74.32,95,75,2.57,CO,2020-10-17 00:15:55,broken clouds
Karibib,-21.93,15.83,67.75,44,43,2.42,NA,2020-10-17 00:19:18,scattered clouds
Conde,-7.26,-34.91,77.0,88,20,5.82,BR,2020-10-17 00:15:20,few clouds
Necochea,-38.55,-58.74,59.0,89,0,1.99,AR,2020-10-17 00:19:18,clear sky
Benghazi,32.12,20.07,80.76,39,31,14.36,LY,2020-10-17 00:19:18,scattered clouds
Port Hope,43.94,-82.71,44.6,65,80,9.17,US,2020-10-17 00:15:03,broken clouds
Puebla,18.83,-98.0,68.0,45,40,14.99,MX,2020-10-17 00:19:19,scattered clouds
Pontianak,-0.03,109.33,78.98,86,100,3.11,ID,2020-10-17 00:19:19,overcast clouds
Marsabit,2.33,37.99,66.45,71,45,23.8,KE,2020-10-17 00:19:19,scattered clouds
Richards Bay,-28.78,32.04,67.8,84,81,3.51,ZA,2020-10-17 00:19:19,broken clouds
Kaitangata,-46.28,169.85,50.0,64,80,14.0,NZ,2020-10-17 00:19:19,broken clouds
Koumac,-20.57,164.28,75.6,69,8,10.8,NC,2020-10-17 00:19:19,clear sky
San Rafael,-34.62,-68.33,76.57,35,20,5.14,AR,2020-10-17 00:14:47,light rain
Egvekinot,66.32,-179.17,33.98,99,84,10.65,RU,2020-10-17 00:19:20,light rain
Iberia,29.95,-91.75,64.4,72,75,9.17,US,2020-10-17 00:19:20,broken clouds
Donskoye,45.46,41.97,55.4,71,1,4.47,RU,2020-10-17 00:19:20,clear sky
La Ronge,55.1,-105.28,24.8,62,90,12.75,CA,2020-10-17 00:19:20,overcast clouds
Didsbury,53.42,-2.23,48.99,81,90,4.7,GB,2020-10-17 00:19:20,overcast clouds
Brus Laguna,15.75,-84.48,73.72,96,100,3.33,HN,2020-10-17 00:19:20,overcast clouds
Puerto Quijarro,-17.78,-57.77,82.83,60,19,3.02,BO,2020-10-17 00:19:20,few clouds
Kargopol,61.51,38.95,31.69,98,46,6.6,RU,2020-10-17 00:19:21,scattered clouds
Hambantota,6.12,81.12,78.17,79,38,17.45,LK,2020-10-17 00:19:21,scattered clouds
Saldanha,-33.01,17.94,59.0,87,0,6.93,ZA,2020-10-17 00:19:21,clear sky
Kavieng,-2.57,150.8,84.13,69,97,10.94,PG,2020-10-17 00:19:21,overcast clouds
Utmanzai,34.19,71.76,64.4,59,0,4.7,PK,2020-10-17 00:19:21,haze
Sao Joao Da Barra,-21.64,-41.05,70.48,79,100,8.16,BR,2020-10-17 00:19:21,overcast clouds
Vao,-22.67,167.48,69.06,75,2,16.46,NC,2020-10-17 00:19:21,clear sky
Pisco,-13.7,-76.22,64.4,82,4,19.46,PE,2020-10-17 00:19:21,clear sky
Byron Bay,-28.65,153.62,77.0,60,70,4.7,AU,2020-10-17 00:19:22,broken clouds
Cayenne,4.93,-52.33,80.6,78,8,4.7,GF,2020-10-17 00:15:11,clear sky
Ulkan,57.24,107.32,27.18,93,100,9.28,RU,2020-10-17 00:19:22,overcast clouds
Roebourne,-20.78,117.13,76.33,42,0,10.56,AU,2020-10-17 00:19:22,light rain
Mehamn,71.04,27.85,35.67,80,100,8.14,NO,2020-10-17 00:19:22,overcast clouds
Port Blair,11.67,92.75,80.06,82,94,7.76,IN,2020-10-17 00:19:22,light rain
Muros,42.78,-9.06,50.0,91,100,1.01,ES,2020-10-17 00:19:22,overcast clouds
Krasnoselkup,65.7,82.47,29.53,98,100,16.62,RU,2020-10-17 00:19:22,overcast clouds
Fort Nelson,58.81,-122.7,24.8,68,75,6.93,CA,2020-10-17 00:19:23,smoke
Bireun,5.2,96.7,79.16,70,100,4.45,ID,2020-10-17 00:19:23,overcast clouds
Qasigiannguit,68.82,-51.19,48.2,57,97,14.99,GL,2020-10-17 00:19:23,light rain
Lisakovsk,52.54,62.49,53.08,45,100,14.29,KZ,2020-10-17 00:19:23,overcast clouds
Hamilton,39.18,-84.53,48.99,56,1,5.79,US,2020-10-17 00:18:50,clear sky
Puerto Madero,14.72,-92.42,78.8,100,40,1.74,MX,2020-10-17 00:19:23,scattered clouds
La Serena,-29.91,-71.25,55.4,82,20,8.05,CL,2020-10-17 00:19:23,few clouds
Weligama,5.97,80.42,77.81,84,37,11.27,LK,2020-10-17 00:19:23,scattered clouds
Olavarria,-36.89,-60.32,60.85,88,0,9.01,AR,2020-10-17 00:19:24,clear sky
Kaeo,-35.1,173.78,66.0,61,8,8.99,NZ,2020-10-17 00:19:24,clear sky
Rio Gallegos,-51.62,-69.22,50.0,53,40,11.41,AR,2020-10-17 00:19:24,scattered clouds
Paamiut,61.99,-49.67,42.24,76,93,38.99,GL,2020-10-17 00:19:24,overcast clouds
Sinnamary,5.38,-52.95,79.86,76,13,12.48,GF,2020-10-17 00:19:24,few clouds
Haradok,55.46,29.98,33.98,93,22,4.74,BY,2020-10-17 00:15:07,few clouds
Mongo,12.18,18.69,79.5,60,13,5.37,TD,2020-10-17 00:19:24,few clouds
Camacha,33.08,-16.33,64.4,72,20,3.36,PT,2020-10-17 00:19:24,few clouds
Guantanamo,20.14,-75.21,86.0,74,75,16.11,CU,2020-10-17 00:19:24,broken clouds
Port-Gentil,-0.72,8.78,78.8,83,75,8.05,GA,2020-10-17 00:19:25,broken clouds
Luganville,-15.53,167.17,82.4,74,40,8.05,VU,2020-10-17 00:19:25,scattered clouds
Belyy Yar,53.6,91.39,28.4,92,78,6.71,RU,2020-10-17 00:19:25,broken clouds
Ugoofaaru,5.67,73.0,82.08,73,16,13.87,MV,2020-10-17 00:19:25,few clouds
Sangar,63.92,127.47,19.18,96,100,3.31,RU,2020-10-17 00:19:25,light snow
Yar-Sale,66.83,70.83,30.6,98,100,25.17,RU,2020-10-17 00:19:25,overcast clouds
Atlantic Beach,30.33,-81.4,77.0,78,1,4.7,US,2020-10-17 00:15:00,clear sky
Caxito,-8.58,13.66,77.0,83,75,5.82,AO,2020-10-17 00:19:26,broken clouds
Aswan,24.09,32.91,80.83,28,0,8.61,EG,2020-10-17 00:19:26,clear sky
Sakakah,29.97,40.21,71.6,31,0,2.75,SA,2020-10-17 00:19:26,clear sky
Barahona,18.21,-71.1,82.11,77,42,11.01,DO,2020-10-17 00:19:26,light rain
Maningrida,-12.07,134.27,85.06,59,33,7.29,AU,2020-10-17 00:19:26,scattered clouds
Port Antonio,18.18,-76.46,86.0,74,20,11.41,JM,2020-10-17 00:19:26,few clouds
Onega,63.91,38.14,33.94,89,33,6.02,RU,2020-10-17 00:19:26,scattered clouds
Dortyol,36.86,36.23,73.0,74,17,1.45,TR,2020-10-17 00:19:27,few clouds
Abu Kamal,34.45,40.92,64.49,40,0,3.94,SY,2020-10-17 00:19:27,clear sky
Alugan,12.22,125.48,83.21,77,93,5.41,PH,2020-10-17 00:19:27,overcast clouds
Matagami,49.75,-77.63,28.4,92,1,2.24,CA,2020-10-17 00:19:27,clear sky
Kharabali,47.42,47.26,55.0,99,39,5.48,RU,2020-10-17 00:19:27,scattered clouds
Letlhakane,-21.42,25.58,74.55,23,36,11.56,BW,2020-10-17 00:19:27,scattered clouds
Yarkovo,57.4,67.08,44.11,90,87,4.54,RU,2020-10-17 00:19:28,overcast clouds
Sibolga,1.74,98.78,76.57,76,68,3.06,ID,2020-10-17 00:19:28,broken clouds
Katsuura,35.13,140.3,55.4,93,75,14.99,JP,2020-10-17 00:19:28,moderate rain
Qaqortoq,60.72,-46.03,39.2,82,97,2.24,GL,2020-10-17 00:19:28,overcast clouds
Cap-Aux-Meules,47.38,-61.86,55.4,76,5,12.75,CA,2020-10-17 00:19:28,clear sky
Pemba,-12.97,40.52,77.0,83,40,6.93,MZ,2020-10-17 00:19:28,scattered clouds
Odweyne,9.41,45.06,73.17,43,0,0.58,SO,2020-10-17 00:19:29,clear sky
Yumen,40.28,97.2,42.42,50,55,11.61,CN,2020-10-17 00:19:29,broken clouds
Rafaela,-31.25,-61.49,73.99,35,0,3.0,AR,2020-10-17 00:19:29,clear sky
Marsh Harbour,26.54,-77.06,81.18,77,100,11.21,BS,2020-10-17 00:19:29,overcast clouds
Port Macquarie,-31.43,152.92,80.01,52,45,3.0,AU,2020-10-17 00:19:29,scattered clouds
Tocopilla,-22.09,-70.2,65.93,53,39,8.59,CL,2020-10-17 00:16:06,scattered clouds
Tsabong,-26.02,22.4,80.06,17,0,11.1,BW,2020-10-17 00:19:29,clear sky
Bowling Green,36.99,-86.44,55.4,30,1,3.36,US,2020-10-17 00:15:08,clear sky
Luis Gil Perez,17.87,-93.05,82.4,83,40,8.05,MX,2020-10-17 00:19:30,scattered clouds
Maceio,-9.67,-35.74,73.4,88,29,6.93,BR,2020-10-17 00:18:56,scattered clouds
Phan Thiet,10.93,108.1,76.26,90,100,8.55,VN,2020-10-17 00:19:30,overcast clouds
Lodwar,3.12,35.6,85.24,46,33,12.08,KE,2020-10-17 00:19:30,scattered clouds
Half Moon Bay,37.46,-122.43,93.2,18,1,13.87,US,2020-10-17 00:19:30,clear sky
Sol-Iletsk,51.16,54.99,55.87,39,97,12.95,RU,2020-10-17 00:19:30,overcast clouds
Mayo,38.89,-76.51,55.0,93,90,3.36,US,2020-10-17 00:19:30,overcast clouds
Moroto,2.53,34.67,71.96,63,74,0.58,UG,2020-10-17 00:19:30,light rain
Brae,60.4,-1.35,42.8,93,100,9.17,GB,2020-10-17 00:19:30,overcast clouds
Ancud,-41.87,-73.82,59.0,58,54,10.29,CL,2020-10-17 00:19:31,broken clouds
Dzerzhinsk,56.24,43.46,32.0,86,20,8.95,RU,2020-10-17 00:19:31,few clouds
Mancio Lima,-7.61,-72.9,76.44,84,100,2.28,BR,2020-10-17 00:19:31,overcast clouds
Porkhov,57.77,29.56,35.6,93,96,2.24,RU,2020-10-17 00:19:31,overcast clouds
Chengam,12.3,78.8,73.02,84,67,4.09,IN,2020-10-17 00:19:31,broken clouds
Luena,-11.78,19.92,63.34,92,3,3.47,AO,2020-10-17 00:19:31,clear sky
Rumford,44.55,-70.55,52.0,98,100,1.95,US,2020-10-17 00:19:31,light rain
Batagay,67.63,134.63,12.38,90,100,2.73,RU,2020-10-17 00:19:31,overcast clouds
Jeremoabo,-10.07,-38.48,67.55,86,0,7.56,BR,2020-10-17 00:19:31,clear sky
Walvis Bay,-22.96,14.51,57.0,93,1,5.82,NA,2020-10-17 00:19:32,clear sky
Valparaiso,-33.04,-71.63,55.4,93,90,4.7,CL,2020-10-17 00:19:32,mist
Steinbach,50.17,8.57,46.4,75,68,5.82,DE,2020-10-17 00:19:32,broken clouds
Kulhudhuffushi,6.62,73.07,81.97,72,63,14.52,MV,2020-10-17 00:19:32,broken clouds
Derzhavinsk,51.1,66.32,52.47,44,100,14.99,KZ,2020-10-17 00:19:32,overcast clouds
Rundu,-17.93,19.77,69.89,23,3,7.58,NA,2020-10-17 00:19:32,clear sky
Vestmannaeyjar,63.44,-20.27,44.89,72,8,8.16,IS,2020-10-17 00:18:44,clear sky
Matamoros,25.53,-103.25,86.0,25,5,12.68,MX,2020-10-17 00:19:33,clear sky
Shingu,33.73,135.98,57.2,100,75,3.36,JP,2020-10-17 00:19:33,light rain
Ejido,8.55,-71.24,67.39,64,48,5.75,VE,2020-10-17 00:19:33,light rain
Ulety,51.36,112.48,27.93,86,58,11.23,RU,2020-10-17 00:19:33,broken clouds
Bouna,9.27,-3.0,75.02,84,95,4.34,CI,2020-10-17 00:16:06,overcast clouds
Bac Lieu,9.29,105.72,78.82,86,100,8.05,VN,2020-10-17 00:19:05,overcast clouds
Mount Isa,-20.73,139.5,87.8,16,0,11.41,AU,2020-10-17 00:19:34,clear sky
Bagdarin,54.43,113.6,20.64,81,99,3.04,RU,2020-10-17 00:19:34,overcast clouds
Douglas,41.3,-96.17,54.0,30,75,4.7,US,2020-10-17 00:17:25,broken clouds
Muisne,0.6,-80.03,74.97,86,64,9.71,EC,2020-10-17 00:19:34,broken clouds
Northam,51.03,-4.22,48.99,81,17,3.0,GB,2020-10-17 00:19:34,few clouds
Grindavik,63.84,-22.43,41.0,100,75,6.93,IS,2020-10-17 00:19:34,broken clouds
Port-Cartier,50.03,-66.87,46.4,100,90,5.82,CA,2020-10-17 00:19:34,overcast clouds
Rondonopolis,-16.47,-54.64,80.96,56,66,0.58,BR,2020-10-17 00:19:34,broken clouds
Chapais,49.78,-74.85,37.4,86,90,3.36,CA,2020-10-17 00:19:34,light rain
Marshall,34.38,-86.33,57.99,46,1,4.7,US,2020-10-17 00:19:35,clear sky
Polyarnyy,69.2,33.45,26.6,100,40,2.24,RU,2020-10-17 00:19:35,scattered clouds
The Valley,18.22,-63.06,82.4,94,40,14.99,AI,2020-10-17 00:14:46,scattered clouds
